''<small>biological</small>  gender''  –  '''lo te seksi'''

''<small>method of</small>  vaccination''  –  '''lo ve jinku'''

''<small>in other</small>  words''  –  '''va&apos;i'''

''%''  –  '''ce&apos;i'''

''&#44; (comma)''  –  '''slaka bu'''

''&apos; (letter)''  –  '''y&apos;y'''

''( (bracket)''  –  '''vei'''

'') (bracket)''  –  '''ve&apos;o'''

''+ (addition operator)''  –  '''su&apos;i'''

''. (symbol)''  –  '''denpa bu'''

''/ (division operator)''  –  '''fe&apos;i'''

''capable''  –  '''lo kakne'''

''captain''  –  '''lo jatna'''

''<small>to</small> capture''  –  '''kavbu'''

''car''  –  '''lo karce'''

''car of a train''  –  '''lo se trene'''

''caravan''  –  '''lo trene'''

''<small>member of a</small> caravan''  –  '''lo se trene'''

''carbon''  –  '''lo tabno'''

''card''  –  '''lo karda'''

''care''  –  '''lo nu kurji'''

''<small>to</small> care''  –  '''kurji'''

''<small>to take</small> care of''  –  '''kurji'''

''caretaker''  –  '''lo kurji'''

''cargo''  –  '''lo se bevri'''

''cargo of a boat''  –  '''lo se bloti'''

''cargo of a car''  –  '''lo se karce'''

''cargo of a carriage''  –  '''lo se carce'''

''cargo of an aircraft''  –  '''lo se vinji'''

''carriage''  –  '''lo carce'''

''carriage (of a train)''  –  '''lo se trene'''

''carrier''  –  '''lo bevri'''

''<small>to</small> carry''  –  '''bevri'''

''case (occurrence)''  –  '''lo fasnu'''

''case (recurrence)''  –  '''lo krefu'''

''cassava''  –  '''lo samcu'''

''cat''  –  '''lo mlatu'''

''cause''  –  '''lo rinka'''

''<small>to</small> cause''  –  '''gasnu'''

''<small>to</small> cause effect''  –  '''rinka'''

''cavity''  –  '''lo kevna'''

''<small>to</small> cease''  –  '''sisti'''

''ceased''  –  '''lo se sisti'''

''<small>to</small> celebrate''  –  '''salci'''

''celestial body with a satellite''  –  '''lo se mluni'''

''cell''  –  '''lo selci'''

''center''  –  '''lo centero'''

''<small>at the</small> center of it and of distance ... around''  –  '''mi&apos;i'''

''ceramic''  –  '''lo staku'''

''ceremony''  –  '''lo ritli'''

''chain''  –  '''lo li&apos;anzi'''

''chair''  –  '''lo stizu'''

''chalk''  –  '''lo bakri'''

''<small>to</small> challenge''  –  '''talsa'''

''challenging''  –  '''lo nandu'''

''chance (condition)''  –  '''lo tcini'''

''<small>by</small> chance (random)''  –  '''lo cunso'''

''<small>to</small> change''  –  '''galfi'''

''<small>to</small> change''  –  '''stika'''

''channel''  –  '''lo naxle'''

''chaos''  –  '''lo kalsa'''

''chaotic''  –  '''lo kalsa'''

''chaotic''  –  '''lo se ganzu'''

''character (in a story or play)''  –  '''lo participe'''

''character (letter)''  –  '''lo lerfu'''

''character (property)''  –  '''lo jinzi'''

''characterizing ...''  –  '''kai'''

''chart''  –  '''lo cartu'''

''<small>to</small> chase''  –  '''jersi'''

''chased''  –  '''lo se jersi'''

''chaser''  –  '''lo jersi'''

''cheek''  –  '''lo li&apos;anpi'''

''cheeky''  –  '''lo darsi'''

''cheese''  –  '''lo cirla'''

''cheetah''  –  '''lo bramlatu'''

''chemical''  –  '''lo xukmi'''

''chest''  –  '''lo cutne'''

''chicken''  –  '''lo jipci'''

''chief''  –  '''lo ralju'''

''child''  –  '''lo verba'''

''child of a father''  –  '''lo se patfu'''

''child of a mother''  –  '''lo se mamta'''

''Chinese''  –  '''lo jungo'''

''chocolate''  –  '''lo cakla'''

''<small>to</small> choose''  –  '''cuxna'''

''<small>what is</small> chosen''  –  '''lo se cuxna'''

''Christian''  –  '''lo xriso'''

''church''  –  '''lo malsi'''

''ciao! (hello! or goodbye! depending on context)''  –  '''co&apos;oi'''

''cigar''  –  '''lo sigja'''

''cigarette''  –  '''lo sigja'''

